City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
31,Padang,ID,84.49,light rain,-0.95,100.35,Mercure Padang
36,Pangai,TO,80.6,few clouds,-19.8,-174.35,Ha'apai Beach Resort
37,Butaritari,KI,82.11,clear sky,3.07,172.79,Isles Sunset Lodge
42,Trinidad,BO,82.24,clear sky,-14.83,-64.9,Hotel Piesta
46,Balabac,PH,83.97,broken clouds,7.99,117.06,Sing and Swing Lodge
54,San Policarpo,PH,85.3,light rain,12.18,125.51,Zal-Ann Beach Resort
69,Kapaa,US,80.6,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
73,Esperance,AU,91.4,scattered clouds,-33.87,121.9,Hospitality Esperance
74,Kahului,US,82.4,clear sky,20.89,-156.47,Maui Seaside Hotel
76,Hambantota,LK,82.4,few clouds,6.12,81.12,Bungalow 63
81,Hithadhoo,MV,84.22,heavy intensity rain,-0.6,73.08,Scoop Guest House
86,The Valley,AI,81.0,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
97,Vaini,TO,80.6,few clouds,-21.2,-175.2,Keleti Beach Resort
102,Bathsheba,BB,80.6,shower rain,13.22,-59.52,Atlantis Hotel
116,Miri,MY,84.2,moderate rain,4.41,114.01,"Mega Hotel, Miri"
120,Matara,LK,85.95,light rain,5.95,80.54,Amaloh Boutique Resort
142,Makakilo City,US,82.4,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
145,Meulaboh,ID,85.33,moderate rain,4.14,96.13,Kost Pria
149,Saint-Georges,GD,82.4,few clouds,12.06,-61.75,Siesta Hotel
173,Tiarei,PF,80.6,shower rain,-17.53,-149.33,Le Rocher de Tahiti
178,Binabalian,PH,82.69,light rain,16.42,119.93,Sundowners Vacation Villas
183,Sri Aman,MY,86.0,scattered clouds,1.24,111.46,Seri Simanggang Hotel
184,Bengkulu,ID,81.81,light rain,-3.8,102.27,Grage Hotel Bengkulu
186,Eyl,SO,80.64,clear sky,7.98,49.82,Amiin Hotel
192,Labuhan,ID,91.0,broken clouds,-6.88,112.21,bador sepret
195,Atambua,ID,89.47,broken clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
201,Angoram,PG,91.24,overcast clouds,-4.06,144.07,
203,Porlamar,VE,84.2,broken clouds,10.96,-63.85,Hotel Bella Vista
206,Dingle,PH,85.14,moderate rain,11.0,122.67,SEGAYA PROPERTY
213,Indapur,IN,80.04,clear sky,18.3,73.25,Hotel Open Umbrella
214,Mahibadhoo,MV,83.57,broken clouds,3.78,72.97,Omadhoo Inn
219,Airai,TL,80.56,overcast clouds,-8.93,125.41,Juvinal Martin
220,Georgetown,MY,84.2,shower rain,5.41,100.34,Cititel Penang
237,Nabire,ID,86.05,light rain,-3.37,135.48,Hotel Nusantara Nabire
240,Muli,MV,84.02,light rain,2.92,73.57,Medhufushi Island Resort
243,Marawi,PH,84.0,light rain,8.0,124.29,Derogongan Residence
244,Karratha,AU,91.24,clear sky,-20.74,116.85,ibis Styles Karratha
257,Sola,VU,82.4,broken clouds,-13.88,167.55,Ulkel Guest House
266,Hobyo,SO,81.84,overcast clouds,5.35,48.53,Osmani Hotel
272,Mount Gambier,AU,86.0,overcast clouds,-37.83,140.77,Commodore on the Park
277,Kavieng,PG,84.04,scattered clouds,-2.57,150.8,Nusa Island Retreat
295,Conakry,GN,80.08,few clouds,9.54,-13.68,Riviera Royal Hotel
306,Kalmunai,LK,84.25,light rain,7.42,81.82,VS Villa
313,Vanimo,PG,86.09,scattered clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
316,Andros Town,BS,80.6,overcast clouds,24.7,-77.77,Hanks place
318,Honiara,SB,89.6,shower rain,-9.43,159.95,Heritage Park Hotel
319,Galle,LK,82.13,few clouds,6.04,80.22,Amangalla
326,Narsipatnam,IN,80.6,haze,17.67,82.62,Lodge Vooda Residency AC
329,Manggar,ID,84.97,overcast clouds,-2.88,108.27,Guest Hotel
333,Japura,ID,89.71,light rain,-0.32,102.35,Rumah mbah Jamah
334,Noveleta,PH,84.99,broken clouds,14.43,120.88,Mount Sea Resort
335,Broken Hill,AU,89.6,scattered clouds,-31.95,141.43,Daydream Motel & Cottages
339,Manaquiri,BR,82.4,light rain,-3.32,-60.35,
346,Porto Novo,BJ,80.6,few clouds,6.5,2.6,Tour Eiffel Hotel Benin
348,Razole,IN,80.19,clear sky,16.48,81.83,Sterling Palavelli Godavari
352,Alyangula,AU,93.2,moderate rain,-13.85,136.42,Groote Eylandt Lodge
371,Thinadhoo,MV,84.22,light rain,0.53,72.93,
379,Lufilufi,WS,80.6,overcast clouds,-13.87,-171.6,Leuaina Beach Resort and Spa
385,Bowen,AU,80.6,broken clouds,-20.02,148.23,Castle Motor Lodge Motel
391,Napasar,IN,80.64,clear sky,27.97,73.55,Laxmi Palace
393,Dakar,SN,80.6,clear sky,14.69,-17.44,Novotel Dakar
398,Healesville,AU,84.0,clear sky,-37.65,145.52,Rivendell on Cornelius
399,Yulara,AU,98.6,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
400,Simpang,ID,89.42,light rain,-1.27,104.08,Sk 7 rt 1 dusun 3 rantau makmur berbak
402,Anito,PH,86.25,overcast clouds,12.45,125.29,The Yellow House
405,Tautira,PF,80.6,shower rain,-17.73,-149.15,Pension Oaoa
413,Namatanai,PG,84.79,light rain,-3.67,152.43,Namatanai Hotel
415,Kawalu,ID,83.43,light rain,-7.38,108.21,KOSAN UNGU UNSIK
420,Wahiawa,US,82.4,clear sky,21.5,-158.02,Aloha Wahiawa
426,Pringsewu,ID,92.03,broken clouds,-5.36,104.97,Urban Style by Front One
427,Gizo,SB,84.54,light rain,-8.1,156.84,Imagination Island
429,George Town,MY,84.2,shower rain,5.41,100.34,Cititel Penang
431,Buala,SB,86.25,few clouds,-8.14,159.59,Maringe Lagoon Lodge
445,Mocuba,MZ,81.5,clear sky,-16.84,36.99,Phama Lodge
457,Manali,IN,84.2,haze,13.17,80.27,Sarathy Lodge
469,Bali,ID,87.8,scattered clouds,-8.5,115.0,"Pondok Pitaya: Hotel, Surfing and Yoga"
476,Port Keats,AU,91.67,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
483,Mangrol,IN,81.21,clear sky,21.12,70.12,Hotel The Royal Honours
489,Sattahip,TH,84.2,few clouds,12.67,100.9,Makmai Sailom Heights
493,Ambon,ID,87.8,few clouds,-3.7,128.18,Swiss-Belhotel Ambon
496,Buluang,PH,86.85,light rain,13.31,123.34,Enon Beach Resort
497,Sungairaya,ID,84.02,overcast clouds,0.7,108.9,808 artel
504,Denpasar,ID,87.8,scattered clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
508,La Concepcion,PA,80.01,broken clouds,8.52,-82.62,Mi casa
512,Martapura,ID,87.8,scattered clouds,-3.42,114.85,Montana Hotel Syariah
525,Lakatoro,VU,84.2,broken clouds,-16.1,167.42,Lakatoro Palm Lodge
527,Luganville,VU,84.2,broken clouds,-15.53,167.17,The Espiritu Hotel
539,Beloha,MG,81.45,clear sky,-25.17,45.05,
543,Thiruvananthapuram,IN,87.8,few clouds,8.48,76.92,Hotel Residency Tower
548,Bambanglipuro,ID,85.42,overcast clouds,-7.95,110.28,Puri Brata
554,Lorengau,PG,84.36,moderate rain,-2.02,147.27,Lorengau Harbourside Hotel
564,Puro,PH,84.11,light rain,12.48,123.38,
566,Mulki,IN,84.2,mist,13.1,74.8,KayakBoy Camping Ground
575,Aitape,PG,86.0,broken clouds,-3.14,142.35,
579,Katobu,ID,92.8,scattered clouds,-4.94,122.53,La Ode Husein
593,Ligayan,PH,80.22,heavy intensity rain,4.65,119.47,
595,San Borja,BO,80.13,light rain,-14.82,-66.85,
602,Manavalakurichi,IN,87.8,few clouds,8.13,77.3,Udaya Boys Hostel
604,Konstantinovskoye,RU,82.45,scattered clouds,45.3,42.64,
610,Auki,SB,83.82,light rain,-8.77,160.7,Auki Motel
616,Manokwari,ID,85.21,moderate rain,-0.87,134.08,Swiss Belhotel Manokwari
617,Kavaratti,IN,84.25,clear sky,10.57,72.64,Hotels in Lakshadweep Islands
634,Mount Isa,AU,98.6,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
646,Kathu,TH,84.2,few clouds,7.92,98.33,Novotel Phuket Resort
656,Nanakuli,US,82.4,clear sky,21.39,-158.15,Camp Pālehua
667,Port Blair,IN,84.52,heavy intensity rain,11.67,92.75,Fortune Resort Bay Island
