City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,New Norfolk,AU,2020-11-09 04:10:46,-42.78,147.06,78.01,28,37,3.0,scattered clouds
1,Dikson,RU,2020-11-09 04:10:46,73.51,80.55,-1.41,91,95,14.65,overcast clouds
2,Palmer,US,2020-11-09 04:10:46,42.16,-72.33,48.0,100,1,0.6,clear sky
3,Rikitea,PF,2020-11-09 04:10:46,-23.12,-134.97,73.09,78,89,15.66,light rain
4,Arraial Do Cabo,BR,2020-11-09 04:10:46,-22.97,-42.03,73.9,93,70,8.12,broken clouds
5,Hobart,AU,2020-11-09 04:07:22,-42.88,147.33,79.0,33,0,9.17,clear sky
6,Bredasdorp,ZA,2020-11-09 04:10:47,-34.53,20.04,50.0,71,54,6.93,broken clouds
7,Alekseyevka,RU,2020-11-09 04:10:47,50.63,38.69,46.45,81,100,8.37,overcast clouds
8,Saldanha,ZA,2020-11-09 04:18:12,-33.01,17.94,48.2,87,0,4.7,clear sky
9,Tuktoyaktuk,CA,2020-11-09 04:18:12,69.45,-133.04,10.4,85,75,20.8,light snow
10,Roma,US,2020-11-09 04:18:13,43.21,-75.46,46.0,81,1,3.36,clear sky
11,Port Elizabeth,ZA,2020-11-09 04:18:13,-33.92,25.57,57.2,93,40,13.87,scattered clouds
12,Mataura,NZ,2020-11-09 04:13:38,-46.19,168.86,55.99,71,95,8.01,overcast clouds
13,Omboue,GA,2020-11-09 04:18:13,-1.57,9.26,74.88,95,100,7.47,moderate rain
14,Yellowknife,CA,2020-11-09 04:13:14,62.46,-114.35,28.4,79,75,14.99,broken clouds
15,Periyanayakkanpalaiyam,IN,2020-11-09 04:18:13,11.15,76.93,78.8,74,40,6.93,mist
16,Cape Town,ZA,2020-11-09 04:18:13,-33.93,18.42,52.0,76,20,2.24,few clouds
17,Bluff,NZ,2020-11-09 04:18:13,-46.6,168.33,55.99,71,77,10.0,broken clouds
18,Richards Bay,ZA,2020-11-09 04:18:13,-28.78,32.04,73.44,86,90,7.52,overcast clouds
